name,lat,lng,type,address,postal_code
POTONG PASIR MRT STATION,1.331378,103.869364,MRT,55 UPPER SERANGOON ROAD POTONG PASIR MRT STATION,NIL
WOODLEIGH MRT STATION,1.339828,103.870961,MRT,400 UPPER SERANGOON ROAD WOODLEIGH MRT STATION,NIL
UPPER THOMSON MRT STATION (TE8),1.354416,103.832898,MRT,1 JALAN KELI UPPER THOMSON MRT STATION (TE8) SINGAPORE 577937,577937
LENTOR MRT STATION (TE5),1.385507,103.835744,MRT,1 LENTOR DRIVE LENTOR MRT STATION (TE5) SINGAPORE 789361,789361
MAYFLOWER MRT STATION (TE6),1.371463,103.836568,MRT,91 ANG MO KIO AVENUE 4 MAYFLOWER MRT STATION (TE6) SINGAPORE 569900,569900
BRIGHT HILL MRT STATION (TE7),1.363283,103.832894,MRT,100 SIN MING AVENUE BRIGHT HILL MRT STATION (TE7) SINGAPORE 575737,575737
SPRINGLEAF MRT STATION (TE4),1.397581,103.817857,MRT,825 UPPER THOMSON ROAD SPRINGLEAF MRT STATION (TE4) SINGAPORE 787140,787140
BAYSHORE MRT STATION (TE29),1.313122,103.94231,MRT,31 BAYSHORE ROAD BAYSHORE MRT STATION (TE29) SINGAPORE 469958,469958
BEDOK NORTH MRT STATION (DT29),1.334742,103.917978,MRT,651 BEDOK NORTH ROAD BEDOK NORTH MRT STATION (DT29) SINGAPORE 479481,479481
KAKI BUKIT MRT STATION (DT28),1.334967,103.908459,MRT,30 KAKI BUKIT AVENUE 1 KAKI BUKIT MRT STATION (DT28) SINGAPORE 415804,415804
UBI MRT STATION (DT27),1.329974,103.899227,MRT,51 UBI AVENUE 2 UBI MRT STATION (DT27) SINGAPORE 408899,408899
BENDEMEER MRT STATION (DT23),1.313673,103.862978,MRT,11 KALLANG BAHRU BENDEMEER MRT STATION (DT23) SINGAPORE 339356,339356
GEYLANG BAHRU MRT STATION (DT24),1.321301,103.871623,MRT,541 KALLANG BAHRU GEYLANG BAHRU MRT STATION (DT24) SINGAPORE 339355,339355
