name,lat,lng,address
CHINA SQUARE FOOD CENTRE,1.282866,103.849289,51 TELOK AYER STREET CHINA SQUARE FOOD CENTRE SINGAPORE 048441
CHONG BOON MARKET AND FOOD CENTRE,1.368248,103.856362,453A ANG MO KIO AVENUE 10 CHONG BOON MARKET AND FOOD CENTRE SINGAPORE 561453
HAVELOCK ROAD COOKED FOOD CENTRE,1.287971,103.829623,22A HAVELOCK ROAD HAVELOCK ROAD COOKED FOOD CENTRE SINGAPORE 161022
HOLLAND DRIVE MARKET AND FOOD CENTRE,1.308118,103.792774,44 HOLLAND DRIVE HOLLAND DRIVE MARKET AND FOOD CENTRE SINGAPORE 270044
KAKI BUKIT 511 MARKET AND FOOD CENTRE,1.33322,103.930582,511 BEDOK NORTH STREET 3 KAKI BUKIT 511 MARKET AND FOOD CENTRE SINGAPORE 460511
UPPER BOON KENG MARKET AND FOOD CENTRE,1.315028,103.87162,17 UPPER BOON KENG ROAD UPPER BOON KENG MARKET AND FOOD CENTRE SINGAPORE 380017
YUHUA VILLAGE MARKET AND FOOD CENTRE,1.343488,103.737738,254 JURONG EAST STREET 24 YUHUA VILLAGE MARKET AND FOOD CENTRE SINGAPORE 600254
FOOD CENTRE,1.317274,103.86756,5 KALLANG PLACE FOOD CENTRE SINGAPORE 339152
HAIG ROAD MARKET AND COOKED FOOD CENTRE,1.315425,103.895479,14 HAIG ROAD HAIG ROAD MARKET AND COOKED FOOD CENTRE SINGAPORE 430014
KALLANG ESTATE FRESH MARKET AND FOOD CENTRE,1.307344,103.884018,17 OLD AIRPORT ROAD KALLANG ESTATE FRESH MARKET AND FOOD CENTRE SINGAPORE 397972
MAYFLOWER MARKET AND FOOD CENTRE,1.374108,103.838864,162 ANG MO KIO AVENUE 4 MAYFLOWER MARKET AND FOOD CENTRE SINGAPORE 560162
NORTH BRIDGE ROAD MARKET AND FOOD CENTRE,1.306141,103.864099,861 NORTH BRIDGE ROAD NORTH BRIDGE ROAD MARKET AND FOOD CENTRE SINGAPORE 198783
TAMPINES ROUND MARKET AND FOOD CENTRE,1.345373,103.944629,137 TAMPINES STREET 11 TAMPINES ROUND MARKET AND FOOD CENTRE SINGAPORE 521137
TEBAN GARDENS MARKET AND FOOD CENTRE,1.320831,103.742748,37A TEBAN GARDENS ROAD TEBAN GARDENS MARKET AND FOOD CENTRE SINGAPORE 601037
